entry_time,exit_time,entry_price,stop_loss,target_price,exit_price,direction,pnl,exit_reason,killzone_window,bars_held,rr_target
2025-07-31T00:18:00+00:00,2025-07-31T00:19:00+00:00,117928.5,117921.5,117972.0,117975.0,bullish,41.5,target,Asia,1,6.21
2025-07-31T08:09:00+00:00,2025-07-31T08:10:00+00:00,118680.0,118670.0,118744.0,118690.0,bullish,-12.0,stop_loss,London AM,1,6.4
2025-08-01T08:20:00+00:00,2025-08-01T08:22:00+00:00,114601.0,114531.0,114772.0,114500.0,bullish,-72.0,stop_loss,London AM,2,2.44
2025-08-01T14:31:00+00:00,2025-08-01T14:41:00+00:00,115599.0,115561.0,115848.0,115585.0,bullish,-40.0,stop_loss,NY AM,10,6.55
2025-08-02T08:29:00+00:00,2025-08-02T08:30:00+00:00,113896.5,113875.5,113944.0,113828.0,bullish,-23.0,stop_loss,London AM,1,2.26
2025-08-03T14:47:00+00:00,2025-08-03T15:01:00+00:00,113729.5,113710.5,113844.0,113750.0,bullish,-21.0,stop_loss,NY AM,14,6.03
2025-08-04T00:10:00+00:00,2025-08-04T00:13:00+00:00,114187.0,114161.0,114337.0,114180.0,bullish,-28.0,stop_loss,Asia,3,5.77
2025-08-04T08:29:00+00:00,2025-08-04T08:30:00+00:00,114533.5,114470.5,114742.0,114418.0,bullish,-65.0,stop_loss,London AM,1,3.31
2025-08-06T00:45:00+00:00,2025-08-06T00:46:00+00:00,113967.0,113935.0,114094.0,113838.0,bullish,-34.0,stop_loss,Asia,1,3.97
2025-08-08T08:56:00+00:00,2025-08-08T09:07:00+00:00,116641.0,116617.0,117004.0,116605.0,bullish,-26.0,stop_loss,London AM,11,15.12
2025-08-09T00:31:00+00:00,2025-08-09T00:34:00+00:00,116764.5,116687.5,116971.0,116688.0,bullish,-79.0,stop_loss,Asia,3,2.68
2025-08-09T08:13:00+00:00,2025-08-09T08:38:00+00:00,116842.0,116768.0,116996.0,117005.0,bullish,152.0,target,London AM,25,2.08
2025-08-10T14:02:00+00:00,2025-08-10T14:20:00+00:00,118483.0,118355.0,118755.0,118785.0,bullish,270.0,target,NY AM,18,2.12
2025-08-11T08:39:00+00:00,2025-08-11T09:04:00+00:00,121687.5,121668.5,121838.0,121661.0,bullish,-21.0,stop_loss,London AM,25,7.92
2025-08-12T00:00:00+00:00,2025-08-12T00:09:00+00:00,118720.5,118661.5,118879.0,118645.0,bullish,-61.0,stop_loss,Asia,9,2.69
2025-08-12T14:29:00+00:00,2025-08-12T14:31:00+00:00,119291.5,119208.5,119760.0,119251.0,bullish,-85.0,stop_loss,NY AM,2,5.64
2025-08-13T00:44:00+00:00,2025-08-13T00:49:00+00:00,119972.5,119921.5,120091.0,119889.0,bullish,-53.0,stop_loss,Asia,5,2.32
2025-08-13T08:46:00+00:00,2025-08-13T08:53:00+00:00,119920.0,119894.0,120033.0,120045.0,bullish,111.0,target,London AM,7,4.35
2025-08-13T14:15:00+00:00,2025-08-13T14:16:00+00:00,122081.5,121996.5,122308.0,121913.0,bullish,-87.0,stop_loss,NY AM,1,2.66
2025-08-14T00:16:00+00:00,2025-08-14T00:17:00+00:00,123868.0,123796.0,124138.0,123895.0,bullish,-74.0,stop_loss,Asia,1,3.75
2025-08-14T08:16:00+00:00,2025-08-14T08:27:00+00:00,121971.5,121918.5,122106.0,122144.0,bullish,132.5,target,London AM,11,2.54
2025-08-15T00:11:00+00:00,2025-08-15T00:18:00+00:00,118496.5,118459.5,118613.0,118437.0,bullish,-39.0,stop_loss,Asia,7,3.15
2025-08-15T08:13:00+00:00,2025-08-15T08:14:00+00:00,119151.5,119070.5,119368.0,119064.0,bullish,-83.0,stop_loss,London AM,1,2.67
2025-08-16T00:46:00+00:00,2025-08-16T01:12:00+00:00,117766.5,117727.5,117883.0,117721.0,bullish,-41.0,stop_loss,Asia,26,2.99
2025-08-16T08:28:00+00:00,2025-08-16T08:38:00+00:00,117632.5,117603.5,117694.0,117695.0,bullish,59.5,target,London AM,10,2.12
2025-08-17T00:29:00+00:00,2025-08-17T00:30:00+00:00,117440.5,117437.5,117457.0,117400.0,bullish,-5.0,stop_loss,Asia,1,5.5
2025-08-17T08:09:00+00:00,2025-08-17T08:10:00+00:00,118085.0,118039.0,118188.0,118040.0,bullish,-48.0,stop_loss,London AM,1,2.24
2025-08-17T14:51:00+00:00,2025-08-17T14:52:00+00:00,118333.5,118262.5,118510.0,118252.0,bullish,-73.0,stop_loss,NY AM,1,2.49
