entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,split
2025-09-24 16:15:00+00:00,2025-09-25 00:15:00+00:00,long,113354.0,113298.46393308815,-16.886229887839676,31,train
2025-09-25 00:15:00+00:00,2025-09-25 01:30:00+00:00,long,113561.0,113127.36975501318,-54.69744298643302,4,train
2025-09-27 19:15:00+00:00,2025-09-28 01:00:00+00:00,long,109474.0,109590.0022172007,0.6470216092100767,22,train
2025-09-28 01:00:00+00:00,2025-09-28 06:15:00+00:00,long,109680.0,109360.62869036252,-42.88916239826662,20,train
2025-09-28 14:00:00+00:00,2025-09-29 03:00:00+00:00,long,109685.0,111666.33353811431,187.06578713452544,51,train
2025-09-29 03:00:00+00:00,2025-09-30 04:45:00+00:00,long,111821.0,114188.13586085456,225.4131292924129,102,train
2025-09-30 04:45:00+00:00,2025-09-30 07:30:00+00:00,long,114287.0,113863.07895030337,-53.799608917177785,10,train
2025-09-30 19:45:00+00:00,2025-09-30 23:00:00+00:00,long,114272.0,113926.57264129959,-45.952664502106344,12,train
2025-09-30 23:00:00+00:00,2025-10-01 17:45:00+00:00,long,113975.0,117140.69913040227,305.0141280837066,74,train
2025-10-01 17:45:00+00:00,2025-10-02 14:45:00+00:00,long,117219.0,119023.02280685247,168.59017954490477,83,train
2025-10-02 14:45:00+00:00,2025-10-03 01:45:00+00:00,long,119061.0,120084.86314240532,90.42902108341139,43,train
2025-10-03 01:45:00+00:00,2025-10-03 07:30:00+00:00,long,120198.0,119840.30377203881,-47.771537984721014,22,train
2025-10-03 12:00:00+00:00,2025-10-03 17:45:00+00:00,long,120492.0,122523.74876974124,191.02408953563727,22,train
2025-10-03 17:45:00+00:00,2025-10-04 02:30:00+00:00,long,122711.0,121910.55479966139,-92.27559777384411,34,train
2025-10-04 02:30:00+00:00,2025-10-04 09:45:00+00:00,long,121927.0,122355.1453456137,30.600427294088824,28,train
2025-10-04 09:45:00+00:00,2025-10-04 11:45:00+00:00,long,122456.0,122095.35815501898,-48.291752405852485,7,train
2025-10-04 11:45:00+00:00,2025-10-04 14:45:00+00:00,long,122185.0,122150.69866309632,-15.64691862352262,11,train
2025-10-04 14:45:00+00:00,2025-10-04 15:15:00+00:00,long,122377.0,121994.02255139235,-50.51629598833456,1,train
2025-10-04 23:45:00+00:00,2025-10-05 09:15:00+00:00,long,122439.0,124159.53122413262,159.7231958520551,37,train
2025-10-05 09:15:00+00:00,2025-10-05 09:30:00+00:00,long,124473.0,123771.60012684885,-82.55221732145773,0,train
2025-10-05 09:30:00+00:00,2025-10-05 09:45:00+00:00,long,124080.0,123294.453443269,-90.92337834526367,0,train
2025-10-05 09:45:00+00:00,2025-10-05 19:45:00+00:00,long,123052.0,122698.3302662834,-47.65448988497387,39,train
2025-10-06 00:30:00+00:00,2025-10-06 21:15:00+00:00,long,123770.0,125077.08776200586,118.26642181248572,82,train
2025-10-06 21:15:00+00:00,2025-10-07 02:45:00+00:00,long,125145.0,124462.94114056962,-80.68628300006694,21,train
2025-10-09 13:00:00+00:00,2025-10-09 13:45:00+00:00,long,123648.0,122714.39417572317,-105.67870213646957,2,train
2025-10-09 13:45:00+00:00,2025-10-09 14:30:00+00:00,long,122838.0,121717.61422342631,-124.26635836854035,2,train
2025-10-09 14:30:00+00:00,2025-10-09 16:45:00+00:00,long,121775.0,120269.70739225707,-162.6314961439058,8,train
