entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,gap_size,bars_held
2024-01-29 10:20:00+00:00,2024-01-29 10:25:00+00:00,17559.75,17560.75,bearish,1.75,gap_fill,140.0,1
2024-01-29 10:25:00+00:00,2024-01-29 10:40:00+00:00,17559.0,17565.0,bullish,2.125,gap_fill,170.0,3
2024-01-29 10:30:00+00:00,2024-01-29 10:35:00+00:00,17559.125,17552.5,bearish,1.3125,gap_fill,105.0,1
2024-01-29 10:35:00+00:00,2024-01-29 10:40:00+00:00,17556.75,17565.0,bullish,2.875,gap_fill,230.0,1
2024-01-29 10:40:00+00:00,2024-01-29 10:45:00+00:00,17556.875,17566.5,bullish,2.4375,gap_fill,195.0,1
2024-01-29 10:45:00+00:00,2024-01-29 12:25:00+00:00,17561.25,17572.0,bearish,-5.375,time_exit,410.0,20
2024-01-29 10:50:00+00:00,2024-01-29 12:30:00+00:00,17562.375,17566.0,bearish,-1.8125,time_exit,415.0,20
2024-01-29 10:55:00+00:00,2024-01-29 11:00:00+00:00,17567.125,17558.0,bearish,1.3125,gap_fill,105.0,1
2024-01-29 11:00:00+00:00,2024-01-29 11:45:00+00:00,17564.375,17569.75,bullish,4.1875,gap_fill,335.0,9
2024-01-29 11:05:00+00:00,2024-01-29 11:25:00+00:00,17563.375,17570.0,bullish,3.1875,gap_fill,255.0,4
2024-01-29 11:10:00+00:00,2024-01-29 11:45:00+00:00,17559.375,17569.75,bearish,-6.75,stop_loss,135.0,7
2024-01-29 11:15:00+00:00,2024-01-29 11:25:00+00:00,17562.375,17570.0,bullish,2.5625,gap_fill,205.0,2
2024-01-29 11:20:00+00:00,2024-01-29 11:25:00+00:00,17560.875,17570.0,bullish,0.9375,gap_fill,75.0,1
2024-01-29 11:25:00+00:00,2024-01-29 12:35:00+00:00,17564.125,17554.75,bearish,3.4375,gap_fill,275.0,14
2024-01-29 11:30:00+00:00,2024-01-29 12:35:00+00:00,17565.375,17554.75,bearish,3.1875,gap_fill,255.0,13
2024-01-29 11:35:00+00:00,2024-01-29 11:45:00+00:00,17566.625,17569.75,bullish,2.1875,gap_fill,175.0,2
2024-01-29 11:40:00+00:00,2024-01-29 11:45:00+00:00,17566.375,17569.75,bullish,2.6875,gap_fill,215.0,1
2024-01-29 11:45:00+00:00,2024-01-29 12:00:00+00:00,17568.375,17573.0,bearish,3.0625,gap_fill,245.0,3
2024-01-29 11:50:00+00:00,2024-01-29 12:35:00+00:00,17565.75,17554.75,bearish,2.375,gap_fill,190.0,9
